364, 650 , 554, 806
232, 592 , 432, 788
130, 610, 314, 782
236, 602, 344, 676
298, 652, 354, 708
290, 558, 412, 668
286, 634, 382, 712
526, 668, 590, 790
190, 602, 318, 722
372, 624, 562, 852

416, 662, 494, 748
198, 534, 302, 704
350, 584, 460, 698
458, 644, 558, 786
258, 588, 346, 674
232, 570, 306, 676
608, 648, 676, 740
352, 584, 458, 692
416, 630, 560, 762
240, 654, 372, 766

238, 586, 308, 656
368, 578, 434, 664
280, 570, 406, 698
318, 664, 430, 794
242, 668, 352, 776
306, 644,434, 770
300, 598, 444, 704
242, 670, 390, 804
394, 684, 474, 796
260, 667, 424, 842

140, 638, 324, 736
240, 644, 410, 738
276, 606, 432, 740
294, 572, 410, 688
208, 546, 402, 722
528, 678, 664, 812
302, 598, 396, 640
268, 620, 448, 752
386, 594, 520, 704
118, 674, 374, 860


