856, 480, 946, 562
562, 546, 800, 756
798, 598, 944, 726
744, 588, 864, 688
698, 632, 750, 692
632, 562, 784, 704
722, 628, 798, 710
736, 658, 798, 790
790, 592, 896, 706
708, 580, 918, 796

678, 498, 778, 474
712, 604, 862, 798
684, 594, 788, 692
756, 670, 814, 806
772, 610, 858, 686
800, 586, 888, 684
876, 588, 930, 660
752, 592, 850, 718
686, 566, 854, 700
722, 648, 824, 752

552, 592, 620, 650
784, 592, 844, 660
716, 578, 836, 686
756, 670, 894, 788
832, 660, 946, 762
690, 640, 844, 784
780, 570, 904, 680
716, 648, 868, 784
838, 642, 912, 762
802, 496, 958, 644

690, 682, 910, 764
738, 634, 892, 728
706, 600, 860, 694
744, 588, 878, 698
440, 658, 664, 858
858, 528, 980, 652
644, 600, 744, 636
606, 556, 796, 692
748, 570, 888, 670
570, 652, 822, 838



